"barcodeID","CHL","CAR","ANT","EWT","PROT","CBC","sampleID","species","treatment_mmol"
20107,47.2796412139149,10.1905954341166,3.08374641875612,0.0175128367060084,0.00293369979634582,9.99999999999265e-07,"BO_R5_35","B. officinalis",35
20773,39.8902792925264,9.07836484147775,1.89771772452116,0.0186990415095888,0.00296103989997986,9.99999999999265e-07,"BO_R5_15","B. officinalis",15
20840,47.4773873087492,11.816224586852,1.59219561760591,0.0290432748460436,0.000167625931173632,0.00213124183452529,"RA_R1_25","H. vulgare",25
20913,51.0348080315391,13.2655503712931,1.54891237134072,0.0268676000579883,1.0000000000049e-07,0.00353853119429599,"RA_R2_25","H. vulgare",25
21589,46.7413517789981,10.1282807286454,2.16041756302564,0.0224410437009269,0.00335461612243374,1.00000000000094e-06,"BO_R4_25","B. officinalis",25
21941,41.5588919291041,10.5812560900733,1.50797306526963,0.0211111289320648,0.00187352744971246,1.00000000000013e-06,"BO_R3_15","B. officinalis",15
21991,46.6217345881244,10.8575274273387,2.48369816918645,0.0209460061079276,0.00297224043062336,1.00000000000023e-06,"BO_R3_25","B. officinalis",25
22209,47.3903861480983,10.2692574279411,1.97256255631242,0.0184082294636166,0.00248298292746114,1.000000000001e-06,"BO_R3_30","B. officinalis",30
22283,37.3470826583375,9.02393898802267,1.95641714725416,0.0191695229034766,0.00320319953849629,1.000000000001e-06,"BO_R1_35","B. officinalis",35
22303,36.9960169608508,8.9909893481192,1.40834656407624,0.0211540625791757,0.00196339015436892,9.9999999999928e-07,"BO_R4_15","B. officinalis",15
22603,31.3099397066026,8.12740362578775,0.94068554078016,0.0271931969246609,0.00350107602381055,1.00000000000172e-06,"BO_R5_5","B. officinalis",5
22612,54.2078470507772,13.8147712844531,2.7905391991975,0.0250484094267362,0.00265105612006319,9.99999999999699e-07,"RA_R2_20","H. vulgare",20
22702,44.9300350994016,11.4420634524705,2.71605020430236,0.0283100559217618,0.00554741083516688,1.00000000000006e-06,"RA_R3_20","H. vulgare",20
23401,46.8803619672229,10.2937556689507,2.83212454527103,0.0195669102633768,0.00315577728431868,1.00000000000013e-06,"BO_R3_35","B. officinalis",35
23461,39.3026756299731,10.3202689309009,1.22168419872897,0.028493495576286,0.00179450463505746,9.99999999999699e-07,"RA_R3_5","H. vulgare",5
23588,27.5427858280354,6.98746788540836,0.646392431528558,0.0248992553580437,0.00184290897534047,9.99999999999333e-07,"BO_R3_5","B. officinalis",5
23641,40.494067306634,9.93882123819891,1.49112259603898,0.0223583950309257,0.00191630881841969,1.00000000000002e-06,"BO_R2_20","B. officinalis",20
24159,42.8342458234774,11.2820819328911,1.93415704201424,0.0266781808502178,0.00347315602314503,1.00000000000013e-06,"RA_R4_5","H. vulgare",5
24199,39.4122484686509,8.70638069456894,1.70714403666034,0.0190011624613681,0.00241035637815979,1e-06,"BO_R2_35","B. officinalis",35
24341,24.5115674099864,6.32588766840008,0.63288651563696,0.0196679177496963,0.00262940400253836,9.99999999999223e-07,"BO_R4_5","B. officinalis",5
24427,44.5341844166137,10.0324832695679,2.5732104910082,0.017934606391855,0.00305073739747355,1.000000000001e-06,"BO_R5_25","B. officinalis",25
24543,48.1710597811371,12.4126812130883,1.49865282721715,0.0276611569711382,0.0011465112367238,0.000781853726944047,"RA_R3_10","H. vulgare",10
24604,58.3224382231296,12.9906162451605,2.31123868302953,0.0221009389398672,0.00252019904116947,1.00000000000013e-06,"BO_R1_15","B. officinalis",15
24762,16.4566414053353,5.1019174234889,0.851566800989503,0.0192122271440871,0.00382446788879018,1.00000000000004e-06,"BO_R2_15","B. officinalis",15
24778,31.795999092469,7.74918841864924,1.13871691224693,0.0206031301262577,0.00310853638504231,1.00000000000001e-06,"BO_R2_10","B. officinalis",10
24781,45.0080786731893,10.9566343865306,1.67405812378413,0.0246569026972892,0.0018618988026188,9.99999999999997e-07,"RA_R4_25","H. vulgare",25
24837,41.1130545879855,9.96151872780498,2.6794422783629,0.0180066631977617,0.00254213178318268,1.000000000001e-06,"RA_R1_10","H. vulgare",10
24994,18.6037095587323,5.02360192114327,0.479844670906089,0.0190617741635485,9.99999999998194e-08,0.00516309388593184,"BO_R5_0","B. officinalis",0
25315,17.5647831366351,5.17145423308021,0.407295487761306,0.0197497087232587,0.00323899748225095,1.00000000000004e-06,"BO_R4_30","B. officinalis",30
25506,43.5454191061051,10.3901646872519,1.83303296428725,0.020538987024691,0.00214327036006448,9.99999999999265e-07,"BO_R1_20","B. officinalis",20
25661,48.9473704281965,12.0932550568461,2.09176776052146,0.0247609722601213,0.00179383967655461,1.00000000000165e-06,"BO_R1_30","B. officinalis",30
25724,32.8583618204255,8.56966136034377,0.8635920947595,0.0267957958058916,0.000813497145184367,0.000988315439595085,"RA_R2_5","H. vulgare",5
25910,43.5731770255323,11.2020975100289,1.77635932882739,0.0249590691412098,0.00291698987487312,1.00000000000013e-06,"RA_R5_25","H. vulgare",25
26068,29.4063567116596,7.08930980579673,1.45014381643625,0.0193135007000095,0.00450263531648372,9.99999999945372e-07,"BO_R1_5","B. officinalis",5
26204,46.6288241518828,11.8718282360472,2.53519045830254,0.0228491677785602,0.0021283836612148,1.00000000000013e-06,"RA_R5_15","H. vulgare",15
26289,43.7471131892427,11.2220035285437,0.962850646358253,0.0237997758658862,0.000420063678069771,0.00293492377497007,"RA_R2_10","H. vulgare",10
26547,44.6180227804265,9.39320083498381,2.71955855529251,0.0188569994595987,0.00344851032257743,1.00000000000013e-06,"BO_R2_30","B. officinalis",30
