barcodeID,sampleID,treatment_mmol,species,dry_whole_g,LDMC,LMA,area_cm2,gsw,Fs,Fm_prime,Phi_PS2
31841,HO_R1_10,10,R. sativus,3.764,185.7,0.04508799933663633,385.91200000000003,-0.003853,107.217552,430.091492,0.75071
32137,RA_R1_35,35,H. vulgare,1.154,99.39,0.03595669298252912,1081.857,0.049028,118.646263,452.361359,0.737718
32196,RA_R1_20,20,H. vulgare,1.634,98.16,0.04175904599952644,1161.425,0.026256,103.776459,444.590454,0.76658
32374,RA_R5_0,0,H. vulgare,0.022,118.48,0.03536718208440025,70.687,0.033055,118.140579,401.128296,0.705479
32908,RA_R1_30,30,H. vulgare,1.365,101.69,0.04778136006566389,845.518,0.048235,95.680832,433.972107,0.779523
33847,HO_R2_35,35,R. sativus,1.6,138.67,0.030612244897959183,294,0.010454,141.209,463.019012,0.695025
33900,RA_R2_15,15,H. vulgare,1.612,101,0.040039248349616786,809.206,0.222121,122.792961,399.090881,0.692318
34121,RA_R4_0,0,H. vulgare,0.044,168.67,0.06160796796385666,68.173,0.206148,90.320351,420.085785,0.784995
34122,HO_R4_15,15,R. sativus,4.616,190.02,0.04474675586020013,400.029,-0.009439,106.099251,447.352753,0.762829
34521,HO_R1_35,35,R. sativus,3.698,153.74,0.03503776818886304,316.80100000000004,0.009427,107.449295,426.516663,0.748077
34680,HO_R3_15,15,R. sativus,3.062,163.92,0.03958071011512939,376.446,0.023453,107.613083,446.320648,0.758888
35106,HO_R2_15,15,R. sativus,4.108,195.94,0.04453967969452298,368.211,0.001363,117.231133,456.410767,0.743146
35208,HO_R3_35,35,R. sativus,1.678,170.13,0.03583515827194904,251.14999999999998,0.003606,109.891891,420.620789,0.738739
35222,RA_R2_30,30,H. vulgare,1.623,91.29,0.029819406221073617,804.845,0.007556,119.540337,448.019379,0.73318
35469,HO_R3_10,10,R. sativus,2.614,146.89,0.03625841090541436,286.83,-0.002278,105.172638,416.074646,0.747227
35764,HO_R2_25,25,R. sativus,3.759,173.24,0.03923064643988647,369.60900000000004,0.002848,105.824234,417.736877,0.746673
35802,RA_R3_15,15,H. vulgare,0.829,107.29,0.037448092412829904,750.372,0.15111,122.610924,439.599762,0.721085
36038,HO_R1_30,30,R. sativus,3.156,184.18,0.041800195067576984,373.204,0.012217,112.907051,467.303741,0.758386
36145,RA_R4_20,20,H. vulgare,0.944,107.5,0.0333389526106566,1061.821,0.030705,90.911148,432.903534,0.789997
36432,HO_R2_10,10,R. sativus,3.097,173.11,0.03931792935751449,261.967,0.029677,114.798904,450.723053,0.745301
36605,RA_R4_30,30,H. vulgare,0.57,103.57,0.03207120374864123,704.682,0.008281,127.29657,455.347534,0.720441
36731,HO_R2_30,30,R. sativus,1.818,133.86,0.032548219229487925,261.151,0.002821,122.919556,444.301117,0.723342
36912,HO_R3_20,20,R. sativus,3.623,127.49,0.03245962833725554,295.75199999999995,1.82e-4,102.18644,415.228119,0.753903
37191,RA_R3_0,0,H. vulgare,0.049,161.07,0.07124410009796064,33.687,0.07844,84.918022,383.0495,0.778311
37381,RA_R3_35,35,H. vulgare,1.391,105.7,0.03464752993023135,802.366,-0.001352,152.178879,462.428558,0.670914
38025,HO_R3_30,30,R. sativus,1.756,156.42,0.03244777935510039,345.16999999999996,0.015013,117.686035,460.951569,0.744689
38114,HO_R2_20,20,R. sativus,1.728,129.38,0.029865849630717558,284.606,0.043173,126.246933,449.597961,0.7192
38118,RA_R3_25,25,H. vulgare,1.658,82.02,0.034035691841986924,1051.837,0.027601,101.742264,382.325287,0.733886
38386,HO_R1_25,25,R. sativus,3.452,165.84,0.03903326632133476,340.735,0.057032,128.512497,468.302979,0.725578
38450,HO_R1_5,5,R. sativus,2.676,170.61,0.039571995564802086,255.231,0.037092,118.650909,455.814972,0.739695
38947,HO_R2_5,5,R. sativus,0.684,187.5,0.03894858786401949,200.264,0.009235,107.876297,408.587708,0.735978
39034,RA_R2_35,35,H. vulgare,1.345,126.23,0.04576740913231254,670.783,0.035714,95.509171,461.624268,0.793102
39146,RA_R2_0,0,H. vulgare,0.059,166.67,0.06232471174820816,44.926,0.061989,103.66774,430.868622,0.759398
39291,RA_R4_35,35,H. vulgare,1.784,99.43,0.036024730490661155,924.365,0.016346,121.093155,420.502777,0.712028
39493,RA_R1_15,15,H. vulgare,1.245,101.33,0.034326764976799845,929.304,0.300367,92.402458,411.041382,0.775199
39992,HO_R3_5,5,R. sativus,0.664,185.19,0.03902530400711822,192.183,0.001385,107.882378,404.581177,0.733348
